科室,排名,医院名称,官网URL,省份,城市
妇产科,获提名,南京市妇幼保健院,,江苏,南京
妇产科,获提名,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
妇产科,获提名,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
妇产科,获提名,上海交通大学医学院附属第九人民医院,https://www.9hospital.com.cn/,上海,上海
妇产科,获提名,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
妇产科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
妇产科,获提名,苏州大学附属第一医院,,江苏,苏州
妇产科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
妇产科,获提名,南通大学附属医院,,江苏,南通
妇产科,获提名,海军军医大学第一附属医院,,,
妇产科,获提名,厦门大学附属中山医院,,福建,厦门
妇产科,获提名,浙江大学医学院附属邵逸夫医院,https://www.srrsh.com/,浙江,
口腔科,1,上海市精神卫生中心,https://www.smhc.org.cn/,上海,上海
口腔科,2,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
口腔科,3,第九人民医院,https://www.9hospital.com.cn/,,
口腔科,4,南京脑科医院（南京市胸科医院,,江苏,南京
口腔科,5,南京医科大学附属口腔医院,,江苏,南京
口腔科,6,（江苏省口腔医院,,江苏,
口腔科,7,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
口腔科,8,浙江大学医学院附属口腔医院,,浙江,
口腔科,9,杭州市第七人民医院,,浙江,杭州
口腔科,10,南京大学医学院附属口腔医院,,江苏,南京
口腔科,获提名,暨南京市口腔医院,,江苏,南京
口腔科,获提名,山东省精神卫生中心,,山东,
口腔科,获提名,（山东大学附属精神卫生中心,,山东,
口腔科,获提名,同济大学附属口腔医院,,,
口腔科,获提名,安徽省精神卫生中心,,安徽,
口腔科,获提名,苏州市广济医院,,江苏,苏州
口腔科,获提名,东南大学附属中大医院,https://www.njzyy.com/,,
口腔科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
口腔科,获提名,厦门市仙岳医院,,福建,厦门
口腔科,获提名,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
口腔科,获提名,安徽医科大学附属巢湖医院,,安徽,
口腔科,获提名,宁波市康宁医院,,浙江,宁波
口腔科,获提名,同济大学附属同济医院,https://www.tongjihospital.com.cn/,,
口腔科,获提名,山东大学口腔医院（山东省口腔医院,,山东,
口腔科,获提名,福建医科大学附属口腔医院,,福建,
口腔科,获提名,复旦大学附属口腔医院,,,
口腔科,获提名,安徽医科大学附属口腔医院,,安徽,
口腔科,获提名,南昌大学附属口腔医院,,江西,南昌
口腔科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
