科室,排名,医院名,官网URL
普通外科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
普通外科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
普通外科,获提名医院,北京大学深圳医院,
普通外科,获提名医院,海口市人民医院,https://www.hkrmyy.com/
普通外科,获提名医院,海南医科大学第一附属医院,
神经内科,1,中山大学附属第一医院,
神经内科,2,中山大学附属第三医院,https://www.zssy.com.cn/
神经内科,3,广东省人民医院,https://www.gdghospital.org.cn/
神经内科,4,南方医科大学南方医院,https://www.nfyy.com/
神经内科,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
神经内科,获提名医院,中山大学孙逸仙纪念医院,
神经内科,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
神经内科,获提名医院,广州医科大学附属第二医院,
神经内科,获提名医院,海南省人民医院,
神经内科,获提名医院,海南医科大学第一附属医院,
神经内科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
神经内科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
神经内科,获提名医院,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
神经内科,获提名医院,广西壮族自治区人民医院,
神经内科,获提名医院,中国人民解放军总医院海南医院,
肾脏病,1,南方医科大学南方医院,https://www.nfyy.com/
肾脏病,2,中山大学附属第一医院,
肾脏病,3,广东省人民医院,https://www.gdghospital.org.cn/
肾脏病,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
肾脏病,5,中山大学孙逸仙纪念医院,
肾脏病,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
肾脏病,获提名医院,海南省人民医院,
肾脏病,获提名医院,广州市红十字会医院,https://www.gzrch.com/
肾脏病,获提名医院,海南医科大学第一附属医院,
肾脏病,获提名医院,广西壮族自治区人民医院,
肾脏病,获提名医院,海南医科大学第二附属医院,
肾脏病,获提名医院,广州市第一人民医院,
肾脏病,获提名医院,广东医科大学附属医院,
肾脏病,获提名医院,北京大学深圳医院,
肾脏病,获提名医院,深圳市人民医院,https://www.szhospital.com/
神经外科,1,南方医科大学南方医院,https://www.nfyy.com/
神经外科,2,中山大学附属第一医院,
神经外科,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
神经外科,4,南方医科大学珠江医院,https://www.zjyy.com.cn/
神经外科,5,海南省人民医院,
神经外科,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
神经外科,获提名医院,广州医科大学附属第二医院,
神经外科,获提名医院,中国人民解放军南部战区总医院,
神经外科,获提名医院,海南医科大学第一附属医院,
神经外科,获提名医院,深圳市第二人民医院（深圳大学第一附属医院）,
神经外科,获提名医院,广西壮族自治区人民医院,
神经外科,获提名医院,中山大学孙逸仙纪念医院,
神经外科,获提名医院,广东三九脑科医院,
神经外科,获提名医院,深圳市人民医院,https://www.szhospital.com/
神经外科,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
消化病,1,中山大学附属第一医院,
消化病,2,南方医科大学南方医院,https://www.nfyy.com/
消化病,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
消化病,4,广东省人民医院,https://www.gdghospital.org.cn/
消化病,5,中山大学孙逸仙纪念医院,
消化病,获提名医院,海南省人民医院,
消化病,获提名医院,南方医科大学深圳医院,
消化病,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
消化病,获提名医院,中山大学附属第六医院,
消化病,获提名医院,海南医科大学第二附属医院,
消化病,获提名医院,深圳市人民医院,https://www.szhospital.com/
消化病,获提名医院,海南医科大学第一附属医院,
消化病,获提名医院,广州市第一人民医院,
消化病,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
消化病,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
消化病,获提名医院,北京大学深圳医院,
消化病,获提名医院,广西壮族自治区人民医院,
小儿内科,1,广州市妇女儿童医疗中心,
小儿内科,2,深圳市儿童医院,
小儿内科,3,中山大学附属第一医院,
小儿内科,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
小儿内科,5,海南省妇女儿童医学中心,
小儿内科,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
小儿内科,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
小儿内科,获提名医院,广东省妇幼保健院,
小儿内科,获提名医院,中山大学孙逸仙纪念医院,
小儿内科,获提名医院,海南省人民医院,
小儿内科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
小儿内科,获提名医院,海南医科大学第一附属医院,
小儿内科,获提名医院,深圳市妇幼保健院,
小儿内科,获提名医院,广西壮族自治区妇幼保健院,
小儿内科,获提名医院,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
小儿内科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
小儿外科,1,广州市妇女儿童医疗中心,
小儿外科,2,深圳市儿童医院,
小儿外科,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
小儿外科,4,中山大学附属第一医院,
小儿外科,5,海南省妇女儿童医学中心,
小儿外科,获提名医院,广东省妇幼保健院,
小儿外科,获提名医院,中山大学孙逸仙纪念医院,
小儿外科,获提名医院,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
小儿外科,获提名医院,广西壮族自治区妇幼保健院,
小儿外科,获提名医院,海南省人民医院,
心血管,1,广东省人民医院,https://www.gdghospital.org.cn/
心血管,2,中山大学附属第一医院,
心血管,3,南方医科大学南方医院,https://www.nfyy.com/
